case,group,label,model,kernel,n_train,n_test,RMSE_cm,MAE_cm,bias_cm,cover95
9,B,last 20%,GPQP,M3/2 + quasi-periodic,1894,518,9.80966317961529,7.656698575881022,-3.0306247258419945,94.5945945945946
10,B,last 30%,GPM12,Matern 1/2,1634,778,10.09647885355412,7.976972751645024,-2.697882639677683,94.2159383033419
10,B,last 30%,GP,Matern 3/2,1634,778,10.0978173312377,7.97723804967521,-2.7054875455299516,94.08740359897172
10,B,last 30%,GPM52,Matern 5/2,1634,778,10.098443141985108,7.977330450259412,-2.709140232956408,93.95886889460155
10,B,last 30%,GPRQ,rational quadratic,1634,778,10.127334784247667,8.00537934010796,-2.772220950686878,94.34447300771208
10,B,last 30%,GP2M32,two-scale M3/2,1634,778,10.102537507953514,7.985318181353731,-2.713523063473812,94.2159383033419
10,B,last 30%,GP2M32SA,GP-2M-SA,1634,778,9.989211596070248,7.9544949583418445,-3.14435986866377,95.24421593830334
10,B,last 30%,GPQP,M3/2 + quasi-periodic,1634,778,9.945155784137029,7.901051944994525,-3.076746789739191,95.11568123393316
11,B,last 40%,GPM12,Matern 1/2,1377,1035,9.749019294304977,7.656529491661826,-1.5673851818228546,95.07246376811594
11,B,last 40%,GP,Matern 3/2,1377,1035,9.747388096178451,7.655711752591579,-1.5437052517040228,94.97584541062803
11,B,last 40%,GPM52,Matern 5/2,1377,1035,9.747559340907625,7.656251417644008,-1.5386927360001452,94.87922705314008
11,B,last 40%,GPRQ,rational quadratic,1377,1035,9.940002347242242,7.807393030215199,-2.451489132088483,95.16908212560386
11,B,last 40%,GP2M32,two-scale M3/2,1377,1035,9.804984751502122,7.703016729020967,-1.8667717211778974,95.45893719806763
11,B,last 40%,GP2M32SA,GP-2M-SA,1377,1035,9.502980581628147,7.515242858499595,-1.5442956596380926,96.32850241545894
11,B,last 40%,GPQP,M3/2 + quasi-periodic,1377,1035,9.804631114425428,7.702047610333546,-1.8729447476829388,95.3623188405797
12,C1,2020-06-25 to 2020-09-07,GPM12,Matern 1/2,2338,74,7.436263843566966,5.799143606592382,3.2539387740338634,98.64864864864865
12,C1,2020-06-25 to 2020-09-07,GP,Matern 3/2,2338,74,7.45968573795526,5.820799880138104,3.295020125998897,97.2972972972973
12,C1,2020-06-25 to 2020-09-07,GPM52,Matern 5/2,2338,74,7.468267806881546,5.826631271950955,3.308090118042785,97.2972972972973
12,C1,2020-06-25 to 2020-09-07,GPRQ,rational quadratic,2338,74,7.085392424794174,5.479627124725613,2.37453608356429,100.0
12,C1,2020-06-25 to 2020-09-07,GP2M32,two-scale M3/2,2338,74,7.338079248915272,5.6822303907565885,3.051401243964934,98.64864864864865
12,C1,2020-06-25 to 2020-09-07,GP2M32SA,GP-2M-SA,2338,74,6.852799875513002,5.363749563211691,1.4722706713963492,100.0
12,C1,2020-06-25 to 2020-09-07,GPQP,M3/2 + quasi-periodic,2338,74,7.17844746414588,5.4662527076373,2.639236875582481,97.2972972972973
13,C1,2022-06-25 to 2022-09-07,GPM12,Matern 1/2,2338,74,9.91922753442347,8.319151450880574,-3.9665121164968427,97.2972972972973
13,C1,2022-06-25 to 2022-09-07,GP,Matern 3/2,2338,74,9.9047325210243,8.30084908746655,-3.9309308886762833,97.2972972972973
13,C1,2022-06-25 to 2022-09-07,GPM52,Matern 5/2,2338,74,9.899465292728635,8.292882865172384,-3.9179786761391924,97.2972972972973
13,C1,2022-06-25 to 2022-09-07,GPRQ,rational quadratic,2338,74,9.692778646414112,8.05214596824236,-3.528872259533962,97.2972972972973
13,C1,2022-06-25 to 2022-09-07,GP2M32,two-scale M3/2,2338,74,9.912845345836573,8.307062300497128,-3.992359534927302,97.2972972972973
13,C1,2022-06-25 to 2022-09-07,GP2M32SA,GP-2M-SA,2338,74,10.701733343602704,9.12199578223538,-5.937312868868762,97.2972972972973
13,C1,2022-06-25 to 2022-09-07,GPQP,M3/2 + quasi-periodic,2338,74,10.997389254285753,9.472620302244447,-6.401147424158542,91.8918918918919
14,C1,2023-06-25 to 2023-09-07,GPM12,Matern 1/2,2337,75,10.458827907481195,8.178230581484652,6.827937446852758,92.0
14,C1,2023-06-25 to 2023-09-07,GP,Matern 3/2,2337,75,10.506407037606824,8.23595398581925,6.914070905154446,90.66666666666666
14,C1,2023-06-25 to 2023-09-07,GPM52,Matern 5/2,2337,75,10.524432464452122,8.256409254884801,6.939629216837149,90.66666666666666
14,C1,2023-06-25 to 2023-09-07,GPRQ,rational quadratic,2337,75,9.822265010151828,7.66663647441831,5.772436943130741,92.0
14,C1,2023-06-25 to 2023-09-07,GP2M32,two-scale M3/2,2337,75,10.30848643605843,8.074151171653774,6.444821813216175,92.0
14,C1,2023-06-25 to 2023-09-07,GP2M32SA,GP-2M-SA,2337,75,9.494717238376944,7.5140094761455885,5.124790035462843,93.33333333333333
14,C1,2023-06-25 to 2023-09-07,GPQP,M3/2 + quasi-periodic,2337,75,11.140192706254028,8.882508413687496,7.319002331972388,88.0
15,C1,2024-06-25 to 2024-09-07,GPM12,Matern 1/2,2337,75,7.45021518926387,5.817901955608383,-1.0128528810257464,100.0
15,C1,2024-06-25 to 2024-09-07,GP,Matern 3/2,2337,75,7.444130528384221,5.794204195934998,-0.99263221565285,100.0
15,C1,2024-06-25 to 2024-09-07,GPM52,Matern 5/2,2337,75,7.443526272521875,5.799733465323122,-0.9963905641364192,100.0
15,C1,2024-06-25 to 2024-09-07,GPRQ,rational quadratic,2337,75,7.650526433159337,6.393264699702423,-2.4044300708204442,100.0
15,C1,2024-06-25 to 2024-09-07,GP2M32,two-scale M3/2,2337,75,7.427174416328744,5.960132178929498,-1.4116309530994358,100.0
15,C1,2024-06-25 to 2024-09-07,GP2M32SA,GP-2M-SA,2337,75,8.333383824472627,7.041886766959695,-3.159077909788278,100.0
15,C1,2024-06-25 to 2024-09-07,GPQP,M3/2 + quasi-periodic,2337,75,7.499319446970659,6.192084007189795,-2.128368695056256,100.0
16,C1,2025-06-25 to 2025-09-07,GPM12,Matern 1/2,2337,75,6.260762568964647,4.987121221751643,-1.3848146002572634,100.0
16,C1,2025-06-25 to 2025-09-07,GP,Matern 3/2,2337,75,6.226762575058803,4.955680675655896,-1.4634617462580202,100.0
16,C1,2025-06-25 to 2025-09-07,GPM52,Matern 5/2,2337,75,6.217415683378714,4.949123289977636,-1.491919729752547,100.0
16,C1,2025-06-25 to 2025-09-07,GPRQ,rational quadratic,2337,75,6.290515628946178,5.058742750620538,-0.5894077156107642,100.0
16,C1,2025-06-25 to 2025-09-07,GP2M32,two-scale M3/2,2337,75,6.405484331061302,5.123453031648925,-1.1998909122139558,100.0
16,C1,2025-06-25 to 2025-09-07,GP2M32SA,GP-2M-SA,2337,75,7.5635716372139905,6.160897296875508,-3.2581306371068384,100.0
16,C1,2025-06-25 to 2025-09-07,GPQP,M3/2 + quasi-periodic,2337,75,6.572972182018752,5.337176635904188,-2.6604497346081613,100.0
17,C2,2021-11-27 to 2022-01-04,GPM12,Matern 1/2,2373,39,11.583989076470461,8.839133347680756,1.8385028571313553,89.74358974358975
17,C2,2021-11-27 to 2022-01-04,GP,Matern 3/2,2373,39,11.558105024928746,8.820635600061967,2.024214645811809,89.74358974358975
17,C2,2021-11-27 to 2022-01-04,GPM52,Matern 5/2,2373,39,11.55980915430243,8.83496263319112,2.0933893316760193,89.74358974358975
17,C2,2021-11-27 to 2022-01-04,GPRQ,rational quadratic,2373,39,11.618731485606808,8.908258453664548,1.7840263413486772,92.3076923076923
17,C2,2021-11-27 to 2022-01-04,GP2M32,two-scale M3/2,2373,39,11.653542761007836,8.956004079676601,1.4166355515842262,89.74358974358975
17,C2,2021-11-27 to 2022-01-04,GP2M32SA,GP-2M-SA,2373,39,11.58111963083556,8.933339600112841,-0.3472322356746287,89.74358974358975
17,C2,2021-11-27 to 2022-01-04,GPQP,M3/2 + quasi-periodic,2373,39,11.551361443829418,8.989211537752206,-0.25619419476711347,92.3076923076923
18,C2,2022-11-27 to 2023-01-04,GPM12,Matern 1/2,2373,39,8.98903668102496,7.3931318242440796,-0.8752517847766055,97.43589743589743
18,C2,2022-11-27 to 2023-01-04,GP,Matern 3/2,2373,39,9.231740798210808,7.609915181490824,-0.5563410220026763,97.43589743589743
18,C2,2022-11-27 to 2023-01-04,GPM52,Matern 5/2,2373,39,9.299855271524887,7.663017282054585,-0.47400298590091694,97.43589743589743
18,C2,2022-11-27 to 2023-01-04,GPRQ,rational quadratic,2373,39,9.18192486223436,7.566961172079218,-3.2565410473970666,92.3076923076923
18,C2,2022-11-27 to 2023-01-04,GP2M32,two-scale M3/2,2373,39,8.46986936920475,6.866106780927829,-2.601598009095288,94.87179487179486
18,C2,2022-11-27 to 2023-01-04,GP2M32SA,GP-2M-SA,2373,39,9.334381927201685,7.594185219363612,-3.997169750114239,89.74358974358975
18,C2,2022-11-27 to 2023-01-04,GPQP,M3/2 + quasi-periodic,2373,39,9.716202122084516,8.087795803623376,-3.24795725472074,89.74358974358975
